Lname,Fname,Regiment,RankCasualtie,RankSoldier,Junk
BOURGEOIS,RENE,BABB,null,0
BOYCE,ARTHUR CECIL,BABBITT,null,0
BRENNAN,PETER AUSTIN,BALLACHEY,null,0
BRIDGER,ARTHUR KYNASTON,BABBITT,null,0
BROWN,MURDOCK MCDONALD,BROWNE,null,0
BRYSON,ALEXANDER,BABBITT,null,0
BURLTON,ARTHUR VIVIAN,BABBITT,null,0
BUSK,GEORGE LAWRENCE,BABY,null,0
BUTLER,JAMES WILLIAM,BAGNALL,null,0
BAKER,SPENCER,BACON,null,0
BALCOM,HAROLD,BACKHOUS,null,0
BALCOMBE,FRANCIS CEDRIC,BADGLEY,null,0
BARCACARP,VLADIMIR,BARCA-CARP,null,0
BASSINGTHWAIGHTE,HAROLD WARD,BASSINGTHWAITE,null,0
BEARDEN,JOHN ALFRED,BEARDON,null,0
BELL-IRVING,KENNETH,BAIRD,null,0
BENNET,ANDREW WHITTON,BENNETT,null,0
BENT,PHILIP ERIC,BALLACHEY,null,0
BERGSTEDT,ANDREW,BERGMAN,null,0
BEVAN,JOHN WILLIAM MAURICE,BAGNALL,null,0
BILLINGS,DAVID KITTO,BAGSHAW,null,0
BLACKALL,HERBERT GEORGE,BACKALL,null,0
BLANDY,GERALD CASTLETON,BABY,null,0
BOOTH,WILLIAM ALBERT,BABER,null,0
BOURN,CHARLES,BOURNE,null,0
BOY,MATTHEW,BOYD,null,0
BRAISBY,WILLIAM,BRAISLEY,null,0
BREEN,SAMUEL GORDON,BACON,null,0
BRIMMELL,ALBERT METHERELL,BRIMMEL,null,0
BRINK,ALBERT DRURY,BABBITT,null,0
BROTHERTON,TOM,BACON,null,0
BRUNTON,REGINALD RUSTON,BABB,null,0
BULLOCK WEBSTER,FRANK,BADGLEY,null,0
BABBITT,THOMAS EMERSON,BACON,null,0
BACH,EDWARD LAMBERT,BABBITT,null,0
BACKHOUSE,REGINALD JOHN,BABB,null,0
BALCH,RAYMOND TENNEY,BABB,null,0
BALDAU,FRANK,BALDUE,null,0
BALE,THOMAS WILLIAM,BACON,null,0
BANBURY,FRED EVEREST,BADGLEY,null,0
BANNISTER,HERBERT STANLEY,BACKHOUS,null,0
BARCLAY,DAVID FREDERICK,BAGSHAW,null,0
BARK,ROBERT CHARLES,BABB,null,0
BARKER,JOSEPH CLAUDE,BAGNALL,null,0
BARRETT,LELAND KELLY WILLSON,BACON,null,0
BARWICK,RICHARD LAURENCE COTTER,BABB,null,0
BATE,NEWELL HOLLAND,BAILEY,null,0
BATTEL,ANDREW JOHN,BABBITT,null,0
BAWLF,DAVID LELAND,BAGSHAW,null,0
BAYNES,EVAN JOHN,BABBITT,null,0
BEAMER,ARCHIE MAINLAND,BABBITT,null,0
BEAUFORT,FRANCIS HENRY,BADGLEY,null,0
BECKWITH,ALFRED EDWARD,BABBITT,null,0
BELFORD,GEORGE PERCIVAL,BABY,null,0
BELLEY,FRANCOIS JOSEPH,BADGLEY,null,0
BERESFORD-POER,HUBERT PIERS,BACKHOUS,null,0
BERTRAM,SPENCER,BERTIUM,null,0
BIANCHE,CHARLES,BIANCHI,null,0
BILLOT,HERBERT EDWARD,BACKHOUS,null,0
BINMORE,REGINALD ERIC REX,BABB,null,0
BIRCHARD,GORDON FRANK,BABY,null,0
BLAEKER,JOSHUA THOMAS,BLAKER,null,0
BLAKELEY,WILLIAM EDWARD,BLAKLEY,null,0
BLICK,ROBERT,BLAKE,null,0
BLYTH,ROSS ALLISON,BABB,null,0
BOCKING,THOMAS HENRY,BACKING,null,0
BODYCOMB,GEORGE THOMAS,BABY,null,0
BOLAY,ALBERT RICHARD,BABBITT,null,0
BOLES,JACK LIONEL,BAGNALL,null,0
BOOTH,EDWARD BORGFELDT,BABBITT,null,0
BORDEN,HAROLD HUNTER,BACKHOUS,null,0
BORTHWICK,ARTHUR POLLOK SYM,BABBITT,null,0
BOSSE,JOSEPH ALBERT,BOSEE,null,0
BOSWELL,LEONARD,BACON,null,0
BOUDREAULT,AZADE,BOUDRAULT,null,0
BOWEN,HAROLD THOMAS,BACKHOUS,null,0
BOYS,HERBERT JAMES,BACKHOUS,null,0
BRABROOK,EDWARD JOHN,BABBITT,null,0
BRADLEY,HAROLD BARTLETT,BACKHOUS,null,0
BRAKE,FREDERICK CARLTON JAMES,BADGLEY,null,0
BRAMWELL,WILLIAM FRANCIS,BRANWELL,null,0
BREAKEY,HENRY LEOPOLD,BACKHOUS,null,0
BRENDEL,JOHN DANIEL GEORGE,BAGNALL,null,0
BRENNAN,LESTER LUKE,BACON,null,0
BROOKES,RONALD BAINES,BABB,null,0
BROOKSMITH,JOHN DOUGLAS,BAGNALL,null,0
BRUNDRETT,GEORGE FREDERICK,BABY,null,0
BUCHAN,WILLIAM ERSKINE,BABER,null,0
BUDREO,RUSSELL CLEVELAND,BUDRES,null,0
BURLEY,ROBERT JAMES,BABB,null,0
BUTLER,HAROLD,BACKHOUS,null,0
BAILEY,JOSEPH PAGET,BAGNALL,null,0
BAILIE,THOMAS,BAILLIE,null,0
BAIN,ARCHIBALD COCKBURN,BABBITT,null,0
BARNET,DENNIS GEORGE,BAGSHAW,null,0
BARNHARDT,CLARENCE NEAL,BARNHART,null,0
BARRON,COME,BARON,null,0
BATCHELOR,WALTER JOHN,BABER,null,0
BATEMAN,CHARLES EDWARD,BATES,null,0
BAYLES,STANLEY SWITHIN,BACON,null,0
BEATON,GROVER CLEVELAND,BABY,null,0
BELL-BODDY,WILLIAM JOHN,BELLBODDY,null,0
BELLEMARRE,CHARLES,BELLEMARE,null,0
BELTON,ALEXANDER,BELTER,null,0
BELYEA,ARTHUR FRED,BABBITT,null,0
BICKELL,WILLIAM BURT,BABER,null,0
BIJL,ABRAM,BIJIL,null,0
BIRKES,HARRY,BIRKS,null,0
BIRNS,CYRIL GARNET,BAGOT,null,0
BLACKIE,AUSTIN WYARD,BABBITT,null,0
BONNELL,AMOS WALTER,BONELL,null,0
BOUCHIR,MOSES JOSEPH,BOUCHIE,null,0
BOUGHEY,ANCHITEL EDWARD FLETCHER,BABBITT,null,0
BOVINEAU,ELI,BOVNEAU,null,0
BOW,HAROLD,BACKHOUS,null,0
BOWEN,LAURANCE GRANT,BACON,null,0
BOWLBY,ROBERT ARCHER,BABB,null,0
BOYCE,EDWARD FRANCIS,BABBITT,null,0
BRENNAN,THOMAS L,BACON,null,0
BROAD,HUBERT FREDERICK,BACKHOUS,null,0
BROSSARD,LEO ANTONIO,BROSSORD,null,0
BROUGHTON-ADDERLEY,PETER HANDCOCK,BALLACHEY,null,0
BROWNRIGG-JAY,GEORGE HARVEY,BABY,null,0
BRUCE,NIGEL,BAILEY,null,0
BUDDS,PERCY HAROLD,BALLACHEY,null,0
BURMESTER,CHARLES MANSEL,BAGOT,null,0
BACON,CHARLES VALLANCE,BAGOT,null,0
BARNES,JOHN HENRY,BAGNALL,null,0
BEALS,GEORGE,BEALES,null,0
BELIVEAU,HERVE,BELLIVEAU,null,0
BENTLEY,ARTHUR WEBB BUTLER,BABBITT,null,0
BERTHELETTE,MICHAEL,BERTHELET,null,0
BOOTH,LAWRENCE HOWARD,BACON,null,0
BOURNS,ARTHUR ELDRIDGE,BABBITT,null,0
BOWER-BINNS,JOHN SIMPSON,BAGNALL,null,0
BREAULT,PIERRE,BREAUX,null,0
BRENNAN,DAVID PHILIP,BAGSHAW,null,0
BRENNEN,BERT,BRENNAN,null,0
BURBRIDGE,EARDLEY LOFTIC,BURBIDGE,null,0
BUSSIERES,ERNEST,BUSSIERE,null,0
B0YCE,ROBERT FRANKLIN,BOYCE,null,0
BARRIER,JOSEPH,BARRIERE,null,0
BEANLANDS,BERNARD PAUL GASCOIGNE,BABBITT,null,0
BERRIGAN,EDSON,BABBITT,null,0
BERTHAIUME,HARMIDAS,BERTHIAUME,null,0
BILLETT,WILLIAM CHARLES,BILLET,null,0
BLAC,PETER,BLACK,null,0
BLACKWOOD,JAMES,BAGNALL,null,0
BOLTON,GRACE ERROL,BABY,null,0
BRIDGEWATER,HAROLD ERNEST,BACKHOUS,null,0
BROMMITT,GEORGE WILLIAM,BROMMIT,null,0
BOWMAN,CARL WELCH,BAGOT,null,0
BABCOCK,ANDREW ENOS,BABBITT,null,0
BETHEL,CHARLES EDWARD,BETHELL,null,0
